doc_id,word_count,text_genre,pub_year,author_nationality,average_sent_len,is_translated
1,2832,academic,1952,Australia,10.171411879375466,True
2,9945,academic,1977,Canada,21.558711227541643,True
3,3364,non-fiction,1973,Australia,12.204199681005626,True
4,4959,academic,2003,USA,11.192831238801336,True
5,9325,non-fiction,2001,USA,11.344045513579081,True
6,7991,fiction,1996,USA,20.08071711030872,False
7,4473,academic,1970,Australia,13.680508147792672,False
8,5974,academic,2003,India,16.308092000201476,False
9,6844,fiction,1979,India,18.360531869858754,False
10,3568,academic,2017,Canada,22.908267607431906,False
11,805,fiction,1985,Canada,20.905663940669925,True
12,2699,fiction,1989,India,14.05491857858072,True
13,2322,academic,1959,UK,11.972241989366914,False
14,7868,fiction,1991,Australia,10.83061480631797,False
15,2997,academic,1973,Australia,14.523979517214137,False
16,9993,academic,1953,Australia,13.931772238595173,False
17,637,academic,1996,UK,16.842108502007193,False
18,6316,fiction,2000,Canada,20.249220033215206,False
19,7021,fiction,1953,Canada,20.43438168458286,False
20,6136,fiction,1981,Australia,14.2527826987325,False
21,2263,non-fiction,1959,Canada,15.698904338501809,True
22,5172,academic,1960,Australia,12.717264426053546,True
23,4951,fiction,1977,India,21.82818268459778,True
24,7977,non-fiction,1995,India,10.852721146498604,False
25,2146,academic,2021,Canada,20.45495862587481,False
26,1971,academic,1989,UK,21.68043093911655,False
27,7699,academic,2011,Canada,21.661113427731298,False
28,2596,non-fiction,1994,USA,13.891338465180324,True
29,8391,fiction,1984,Australia,15.607197068988421,True
30,855,fiction,1984,USA,18.813994527945837,False
31,897,fiction,1983,Canada,14.092328536367006,True
32,759,fiction,1955,India,15.56279198826833,False
33,3319,academic,1986,Australia,12.955814202784595,False
34,8715,academic,1950,Canada,16.897838256340112,False
35,7556,fiction,1984,UK,10.669184518811711,False
36,3437,fiction,2019,Canada,21.99693826855927,False
37,2845,fiction,2003,UK,11.15434670479949,True
38,4835,non-fiction,2012,India,17.78252723247289,True
39,8836,academic,1958,UK,14.602151493177942,True
40,6787,fiction,2011,USA,18.663144232470632,True
41,814,fiction,1951,USA,24.391500112501376,False
42,2392,non-fiction,1985,USA,19.68355366684006,True
43,8443,fiction,1990,USA,10.530436536332363,True
44,1307,academic,1986,USA,16.45603659262092,True
45,6272,non-fiction,1998,UK,17.650252784773755,True
46,9094,non-fiction,1975,USA,18.04266242055178,False
47,7321,non-fiction,2017,Australia,20.220887659057567,False
48,6121,fiction,1985,UK,14.163941465976492,False
49,3722,fiction,1980,India,11.932908481994803,False
50,3660,fiction,1979,UK,15.890135148206415,False
51,9048,non-fiction,1983,Canada,24.34608584193923,True
52,1741,non-fiction,1968,India,12.806963376262672,False
53,5084,academic,1967,USA,23.559759323923558,True
54,4453,non-fiction,1952,USA,18.157089251159896,True
55,8722,fiction,2019,Canada,16.853671324686488,False
56,7350,fiction,1962,USA,23.230621153448343,False
57,4287,non-fiction,1994,India,16.879059426528787,False
58,2759,academic,2016,India,20.86251454917315,False
59,9881,non-fiction,1989,India,15.98537982554653,False
60,3056,non-fiction,1989,UK,23.56066589351437,True
61,2351,non-fiction,1972,UK,20.35037530286841,True
62,4520,fiction,1980,India,20.49433081375775,False
63,7208,fiction,1967,UK,14.915806023356783,True
64,1171,fiction,2020,UK,21.351679641053337,True
65,5351,non-fiction,2021,Australia,19.540915831707117,False
66,7112,academic,1968,UK,13.600304100695643,False
67,9496,non-fiction,1993,Australia,12.408082337278845,False
68,4018,non-fiction,1999,Australia,21.945872117759976,True
69,9459,fiction,1991,UK,24.387499045528337,True
70,1784,fiction,1996,UK,16.872082408900642,False
71,7198,non-fiction,1971,UK,18.864762479855273,False
72,3057,academic,1978,USA,22.86583966290332,True
73,4569,fiction,2008,Australia,16.858351800307858,True
74,8852,academic,1950,USA,24.278117152491042,True
75,9897,academic,2013,India,18.636267430673087,False
76,5895,non-fiction,1966,UK,22.311506810519724,False
77,1572,non-fiction,1986,India,23.632655776191076,True
78,7363,non-fiction,1974,USA,22.23285728152853,False
79,7465,academic,2013,Australia,12.39121695173434,True
80,8548,fiction,2017,Canada,19.433476585925504,False
81,6101,fiction,2001,UK,15.976513879295156,True
82,3862,non-fiction,1958,India,10.940694280350186,False
83,9108,fiction,2006,India,16.36048377834763,False
84,2535,academic,1982,India,13.880261003341115,False
85,1734,academic,1969,USA,22.735574626427663,False
86,1073,fiction,2022,USA,10.499569398200443,True
87,4564,academic,2021,Canada,24.384740827952104,True
88,8493,academic,1963,USA,15.330532727078944,True
89,2518,academic,2008,Australia,15.350603356038143,False
90,3555,non-fiction,2005,Australia,10.244927540255619,False
91,6267,non-fiction,2014,India,12.77848487854276,False
92,5919,fiction,1986,UK,16.01889251205413,False
93,6621,fiction,1975,India,23.939371259540707,True
94,6342,fiction,1982,Australia,11.49422395331907,True
95,7842,academic,1992,Australia,24.179523002186194,True
96,9223,academic,1964,Australia,23.042327958199483,True
97,6838,non-fiction,1978,India,16.812435953613278,True
98,2887,non-fiction,1970,Canada,14.900513226523902,True
99,7416,fiction,2018,UK,13.491161939185853,False
100,4405,fiction,1972,Canada,19.216970597153114,False
